Month	Year	Gas.CCF	AverageTemp	DegreesBelow65
Jan	2007	157	43	22
Feb	2007	207	27	38
Mar	2007	203	37	28
Apr	2007	122	46	19
May	2007	46	61	4
Jun	2007	32	72	0
Jul	2007	22	76	0
Aug	2007	22	77	0
Sep	2007	28	71	0
Oct	2007	28	68	0
Nov	2007	84	54	11
Dec	2007	172	38	27
Jan	2006	198	39	26
Feb	2006	138	40	25
Mar	2006	169	38	27
Apr	2006	86	52	13
May	2006	45	60	5
Jun	2006	30	69	0
Jul	2006	29	78	0
Aug	2006	21	80	0
Sep	2006	29	71	0
Oct	2006	43	62	3
Nov	2006	73	53	12
Dec	2006	136	45	20
Jan	2005	175	35	30
Feb	2005	232	30	35
Mar	2005	219	33	32
Apr	2005	112	50	15
May	2005	69	58	7
Jun	2005	36	69	0
Jul	2005	29	76	0
Aug	2005	22	82	0
Sep	2005	30	77	0
Oct	2005	31	66	0
Nov	2005	66	53	12
Dec	2005	183	36	29
Jan	2004	256	33	32
Feb	2004	267	28	37
Mar	2004	150	40	25
Apr	2004	142	49	16
May	2004	38	63	2
Jun	2004	33	70	0
Jul	2004	33	74	0
Aug	2004	23	75	0
Sep	2004	31	74	0
Oct	2004	51	64	1
Nov	2004	113	49	16
Dec	2004	175	45	20
