Units	TotalCost	TotalMaterialCost	AvgTotalCost	AvgMaterialCost
110	5007.2	78.7556	45.52	0.71596
130	4317.3	111.11672	33.21	0.854744
180	9025.2	159.56514	50.14	0.886473
170	4807.6	151.30731	28.28	0.890043
120	4723.2	108.27936	39.36	0.902328
190	10242.9	173.90814	53.91	0.915306
110	4343.9	106.051	39.49	0.9641
260	10020.4	251.27102	38.54	0.966427
300	12348	293.1396	41.16	0.977132
110	4867.5	112.73702	44.25	1.024882
400	12148	416.772	30.37	1.04193
2400	61656	2502.3	25.69	1.042625
1200	35724	1256.3712	29.77	1.046976
300	9669	318.312	32.23	1.06104
2700	66285	2948.616	24.55	1.09208
500	13100	553.6245	26.2	1.107249
150	5440.5	168.5997	36.27	1.123998
2200	70268	2503.116	31.94	1.13778
500	10475	572.026	20.95	1.144052
170	6726.9	195.6394	39.57	1.15082
150	5931	173.5128	39.54	1.156752
180	5270.4	213.53292	29.28	1.186294
260	9622.6	312.61516	37.01	1.202366
120	5802	145.07004	48.35	1.208917
160	5580.8	194.44944	34.88	1.215309
160	5374.4	194.688	33.59	1.2168
190	5905.2	233.89912	31.08	1.231048
190	7731.1	235.38834	40.69	1.238886
290	8070.7	361.09785	27.83	1.245165
160	7168	201.20736	44.8	1.257546
150	4743	191.823	31.62	1.27882
400	16148	511.9992	40.37	1.279998
130	5521.1	166.8303	42.47	1.28331
1200	37728	1585.9296	31.44	1.321608
200	8026	265.2536	40.13	1.326268
280	9077.6	371.39872	32.42	1.326424
120	3912	162.03336	32.6	1.350278
110	5448.3	149.42917	49.53	1.358447
600	14880	820.1232	24.8	1.366872
700	21945	978.3879	31.35	1.397697
700	17640	978.4544	25.2	1.397792
130	6021.6	181.94202	46.32	1.399554
240	8928	335.94432	37.2	1.399768
190	5289.6	268.92866	27.84	1.415414
180	4807.8	257.472	26.71	1.4304
400	15252	573.0912	38.13	1.432728
500	18645	717.717	37.29	1.435434
180	8596.8	258.3846	47.76	1.43547
1400	46970	2021.0344	33.55	1.443596
400	15884	585.6952	39.71	1.464238
200	7604	295.92	38.02	1.4796
200	9226	304.014	46.13	1.52007
130	5206.5	197.83335	40.05	1.521795
800	28272	1220.288	35.34	1.52536
160	6088	245.03808	38.05	1.531488
180	6919.2	280.19736	38.44	1.556652
150	5319	234.759	35.46	1.56506
2000	59600	3132.15	29.8	1.566075
800	33816	1260.8992	42.27	1.576124
130	5591.3	205.74021	43.01	1.582617
130	6055.4	205.91142	46.58	1.583934
500	18080	798.405	36.16	1.59681
160	8649.6	257.21136	54.06	1.607571
190	4873.5	307.94022	25.65	1.620738
600	22218	974.4336	37.03	1.624056
120	4126.8	195.9228	34.39	1.63269
110	5377.9	179.59832	48.89	1.632712
110	5096.3	190.36875	46.33	1.730625
300	12258	521.8668	40.86	1.739556
190	6534.1	331.2498	34.39	1.74342
180	8424	314.4042	46.8	1.74669
130	5448.3	227.7184	41.91	1.75168
300	8550	532.8576	28.5	1.776192
110	4437.4	195.60222	40.34	1.778202
250	12020	445.6015	48.08	1.782406
190	9427.8	341.506	49.62	1.7974
250	6875	451.39625	27.5	1.805585
210	10269	381.66156	48.9	1.817436
190	9861	345.667	51.9	1.8193
110	3433.1	200.39965	31.21	1.821815
700	37051	1277.3068	52.93	1.824724
150	5886	276.1824	39.24	1.841216
110	5894.9	204.27165	53.59	1.857015
180	7025.4	341.51634	39.03	1.897313
300	10629	569.6445	35.43	1.898815
110	5386.7	211.26248	48.97	1.920568
210	10061.1	403.61643	47.91	1.921983
130	6137.3	251.04365	47.21	1.931105
600	15198	1186.8792	25.33	1.978132
210	10304.7	415.9596	49.07	1.98076
140	3432.8	277.52634	24.52	1.982331
600	22182	1191.0744	36.97	1.985124
300	7938	598.59	26.46	1.9953
120	4376.4	241.84428	36.47	2.015369
800	26312	1625.7984	32.89	2.032248
250	9590	516.9875	38.36	2.06795
150	7449	311.0679	49.66	2.073786
300	13635	626.5584	45.45	2.088528
140	5887	292.92984	42.05	2.092356
120	5632.8	251.2818	46.94	2.094015
300	15366	631.9467	51.22	2.106489
120	6124.8	256.65024	51.04	2.138752
400	13144	855.5624	32.86	2.138906
150	5700	321.12045	38	2.140803
500	15785	1072.516	31.57	2.145032
290	9860	629.4479	34	2.17051
180	5068.8	396.864	28.16	2.2048
180	7633.8	397.4175	42.41	2.207875
210	5193.3	465.36903	24.73	2.216043
260	6783.4	578.344	26.09	2.2244
270	7800.3	604.78272	28.89	2.239936
800	24872	1793.7096	31.09	2.242137
1100	36300	2482.5372	33	2.256852
270	11726.1	609.83226	43.43	2.258638
600	14250	1366.344	23.75	2.27724
1000	24270	2288.815	24.27	2.288815
170	7179.1	391.89488	42.23	2.305264
120	5388	276.7602	44.9	2.306335
160	5267.2	371.98656	32.92	2.324916
120	5686.8	281.2302	47.39	2.343585
300	11562	705.126	38.54	2.35042
400	13936	941.4272	34.84	2.353568
210	8061.9	495.3333	38.39	2.35873
300	16095	711.3213	53.65	2.371071
300	10788	721.5744	35.96	2.405248
170	6869.7	411.1569	40.41	2.41857
110	5227.2	266.4816	47.52	2.42256
130	7335.9	318.48531	56.43	2.449887
180	5238	444.75192	29.1	2.470844
200	4888	496.4344	24.44	2.482172
250	11045	621.13725	44.18	2.484549
300	10542	748.3476	35.14	2.494492
130	4397.9	328.81875	33.83	2.529375
130	5471.7	331.1022	42.09	2.54694
140	4698.4	357.58128	33.56	2.554152
400	14132	1039.1964	35.33	2.597991
110	5327.3	287.84217	48.43	2.616747
140	5013.4	366.46344	35.81	2.617596
170	6269.6	452.08695	36.88	2.659335
1200	38832	3200.6988	32.36	2.667249
200	9218	536.767	46.09	2.683835
400	17988	1089.4212	44.97	2.723553
1600	46368	4361.984	28.98	2.72624
500	19405	1381.1655	38.81	2.762331
210	5155.5	580.53576	24.55	2.764456
290	11231.7	810.9966	38.73	2.79654
300	12963	859.695	43.21	2.86565
1400	56280	4172.9786	40.2	2.980699
110	5089.7	328.8879	46.27	2.98989
110	5189.8	330.70026	47.18	3.006366
1300	39715	3919.8185	30.55	3.015245
160	6081.6	486.00416	38.01	3.037526
400	17356	1219.884	43.39	3.04971
180	6188.4	551.6208	34.38	3.06456
180	5248.8	553.068	29.16	3.0726
