Year	Weekly_Riders	Price_per_Ride	Population	Income	Parking_Rate
1	1200	0.15	1800	2900	0.5
2	1190	0.15	1790	3100	0.5
3	1195	0.15	1780	3200	0.6
4	1100	0.25	1778	3250	0.6
5	1105	0.25	1750	3275	0.6
6	1115	0.25	1740	3290	0.7
7	1130	0.25	1725	4100	0.75
8	1095	0.3	1725	4300	0.75
9	1090	0.3	1720	4400	0.75
10	1087	0.3	1705	4600	0.8
11	1080	0.3	1710	4815	0.8
12	1020	0.4	1700	5285	0.8
13	1010	0.4	1695	5665	0.85
14	1010	0.4	1695	5800	1
15	1005	0.4	1690	5900	1.05
16	995	0.4	1630	5915	1.05
17	930	0.75	1640	6325	1.05
18	915	0.75	1635	6500	1.1
19	920	0.75	1630	6612	1.25
20	940	0.75	1620	6883	1.3
21	950	0.75	1615	7005	1.5
22	910	1	1605	7234	1.55
23	930	1	1590	7500	1.65
24	933	1	1595	7600	1.75
25	940	1	1590	7800	1.75
26	948	1	1600	8000	1.9
27	955	1	1610	8100	2
